engine,n_objects,phase,operations,avg_duration_s,throughput_ops_s
duckdb,1000,LOAD,1000,2.917693,342.74
duckdb,1000,READ,1000,0.568398,1759.33
duckdb,1000,UPDATE,500,1.525298,327.8
duckdb,1000,DELETE,100,0.111498,896.88
postgresql,1000,LOAD,1000,0.012547,79703.25
postgresql,1000,READ,1000,0.29355,3406.58
postgresql,1000,UPDATE,500,0.038827,12877.58
postgresql,1000,DELETE,100,0.030756,3251.41
berkeleydb,1000,LOAD,1000,0.001014,985967.09
berkeleydb,1000,READ,1000,0.000696,1436503.87
berkeleydb,1000,UPDATE,500,0.000682,733372.5
berkeleydb,1000,DELETE,100,8.7e-05,1151648.54
duckdb,10000,LOAD,10000,36.847772,271.39
duckdb,10000,READ,10000,5.828812,1715.62
duckdb,10000,UPDATE,5000,15.377335,325.15
duckdb,10000,DELETE,1000,0.633035,1579.69
postgresql,10000,LOAD,10000,0.059067,169298.83
postgresql,10000,READ,10000,1.662973,6013.33
postgresql,10000,UPDATE,5000,1.407299,3552.91
postgresql,10000,DELETE,1000,0.306472,3262.94
berkeleydb,10000,LOAD,10000,0.012626,792047.62
berkeleydb,10000,READ,10000,0.015442,647582.93
berkeleydb,10000,UPDATE,5000,0.025457,196405.95
berkeleydb,10000,DELETE,1000,0.001874,533517.86
duckdb,100000,LOAD,100000,311.750695,320.77
duckdb,100000,READ,100000,70.345367,1421.56
duckdb,100000,UPDATE,50000,243.888185,205.01
duckdb,100000,DELETE,10000,11.363855,879.98
postgresql,100000,LOAD,100000,0.826506,120991.23
postgresql,100000,READ,100000,25.663661,3896.56
postgresql,100000,UPDATE,50000,16.182558,3089.75
postgresql,100000,DELETE,10000,3.10872,3216.76
berkeleydb,100000,LOAD,100000,0.214527,466142.65
berkeleydb,100000,READ,100000,0.256594,389721.32
berkeleydb,100000,UPDATE,50000,0.387215,129127.09
berkeleydb,100000,DELETE,10000,0.026462,377902.68
